"id","post_id","reporter_user_id","reason","is_active","created_date","updated_date"
35,111,13,"report post",1,"2024-01-09 00:00:00","2024-01-09 23:30:04.258181"
36,118,43,"Test report",1,"2024-01-15 00:00:00","2024-01-15 14:59:49.346935"
37,166,53,"Spam ",1,"2024-01-27 00:00:00","2024-01-27 15:19:51.116762"
38,166,53,"Spam",1,"2024-01-27 00:00:00","2024-01-27 15:20:10.718975"
