"id","user_id","post_id","is_active","created_date","updated_date"
61,13,112,1,"2024-01-09 00:00:00","2024-01-09 22:56:18.820453"
62,13,111,1,"2024-01-09 00:00:00","2024-01-09 23:30:09.408108"
63,43,118,1,"2024-01-15 00:00:00","2024-01-15 14:59:59.116873"
64,53,169,1,"2024-01-27 00:00:00","2024-01-27 15:17:55.23561"
65,53,166,1,"2024-01-27 00:00:00","2024-01-27 15:20:15.758342"
