"id","post_id","user_id","comment_id","reaction","is_active","created_date","updated_date"
45,52,1,394,0,1,"2023-11-14 00:00:00","2023-11-14 12:03:45.596333"
46,52,1,395,1,1,"2023-11-14 00:00:00","2023-11-14 12:03:56.381622"
47,52,3,396,1,1,"2023-11-14 00:00:00","2023-11-14 12:06:48.282807"
65,94,1,568,0,1,"2023-11-26 00:00:00","2023-11-26 00:18:36.563694"
66,94,1,569,1,1,"2023-11-26 00:00:00","2023-11-26 00:18:37.604933"
67,94,1,570,1,1,"2023-11-26 00:00:00","2023-11-26 00:18:40.903322"
81,96,1,620,1,1,"2023-11-26 00:00:00","2023-11-26 23:39:12.339439"
68,94,1,571,0,1,"2023-11-26 00:00:00","2023-11-26 00:18:41.822908"
48,52,1,396,1,1,"2023-11-14 00:00:00","2023-11-14 12:07:23.771424"
60,94,1,555,1,1,"2023-11-26 00:00:00","2023-11-26 00:35:08.652864"
69,94,1,578,0,1,"2023-11-26 00:00:00","2023-11-26 00:35:09.644518"
70,94,1,579,1,1,"2023-11-26 00:00:00","2023-11-26 00:35:42.912445"
71,94,1,580,0,1,"2023-11-26 00:00:00","2023-11-26 00:35:43.850135"
72,94,1,581,1,1,"2023-11-26 00:00:00","2023-11-26 00:35:45.431734"
73,94,1,582,0,1,"2023-11-26 00:00:00","2023-11-26 00:36:37.924007"
74,94,1,583,1,1,"2023-11-26 00:00:00","2023-11-26 00:36:39.071535"
75,94,1,584,0,1,"2023-11-26 00:00:00","2023-11-26 00:36:39.950482"
76,94,1,585,1,1,"2023-11-26 00:00:00","2023-11-26 00:36:44.213675"
77,94,1,586,0,1,"2023-11-26 00:00:00","2023-11-26 00:36:45.573945"
56,94,1,504,0,1,"2023-11-25 00:00:00","2023-11-25 14:59:40.016405"
78,94,1,587,1,1,"2023-11-26 00:00:00","2023-11-26 00:37:09.983769"
58,94,1,506,0,1,"2023-11-25 00:00:00","2023-11-25 15:00:12.802907"
57,94,1,505,1,1,"2023-11-25 00:00:00","2023-11-25 15:00:16.790915"
82,113,16,623,1,1,"2023-12-19 00:00:00","2023-12-19 22:53:04.41425"
61,94,1,556,1,1,"2023-11-25 00:00:00","2023-11-25 22:58:28.378808"
90,113,16,634,0,1,"2023-12-20 00:00:00","2023-12-20 00:36:39.761536"
91,113,16,630,0,1,"2023-12-20 00:00:00","2023-12-20 00:36:49.296238"
92,108,16,637,1,1,"2023-12-20 00:00:00","2023-12-20 19:48:25.756573"
93,108,16,638,0,1,"2023-12-20 00:00:00","2023-12-20 19:48:29.022407"
79,96,6,591,1,1,"2023-11-26 00:00:00","2023-11-26 22:09:41.004323"
94,108,16,640,1,1,"2023-12-20 00:00:00","2023-12-20 19:48:30.894176"
101,111,16,688,0,1,"2024-01-09 00:00:00","2024-01-09 21:37:22.268793"
95,108,16,641,1,1,"2023-12-20 00:00:00","2023-12-20 19:48:45.753552"
96,114,16,678,1,1,"2024-01-09 00:00:00","2024-01-09 07:35:21.991265"
102,111,13,689,1,1,"2024-01-09 00:00:00","2024-01-09 21:39:14.452474"
103,111,16,693,1,1,"2024-01-09 00:00:00","2024-01-09 22:37:54.460552"
107,111,13,702,1,1,"2024-01-09 00:00:00","2024-01-09 22:52:26.244825"
100,111,16,687,0,1,"2024-01-09 00:00:00","2024-01-09 21:35:23.698298"
104,111,16,694,1,1,"2024-01-09 00:00:00","2024-01-09 22:38:46.943179"
105,111,16,697,0,1,"2024-01-09 00:00:00","2024-01-09 22:44:00.254488"
108,111,13,700,0,1,"2024-01-09 00:00:00","2024-01-09 22:52:29.921621"
106,111,16,696,1,1,"2024-01-09 00:00:00","2024-01-09 22:44:01.555292"
109,111,13,701,1,1,"2024-01-09 00:00:00","2024-01-09 22:52:31.487609"
110,111,13,699,0,1,"2024-01-09 00:00:00","2024-01-09 22:53:58.944107"
111,111,16,698,1,1,"2024-01-09 00:00:00","2024-01-09 22:54:29.657792"
