"id","user_id","follower_id","is_active","created_date","updated_date"
46,41,13,1,"2024-01-15 00:00:00","2024-01-15 00:56:29.833782"
47,13,51,0,"2024-01-25 00:00:00","2024-01-25 00:44:05.099536"
48,53,13,0,"2024-01-28 00:00:00","2024-01-28 23:38:38.367077"
49,13,59,0,"2024-01-29 00:00:00","2024-01-29 08:36:09.497923"
50,13,62,0,"2024-02-05 00:00:00","2024-02-05 23:56:38.940476"
51,3,2,0,"2024-03-31 00:00:00","2024-03-31 15:28:02.359643"
52,2,5,1,"2024-03-31 00:00:00","2024-03-31 15:38:13.832216"
53,2,6,1,"2024-03-31 00:00:00","2024-03-31 16:21:24.725961"
54,1,6,1,"2024-03-31 00:00:00","2024-03-31 16:22:27.240638"
